Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2013,LAA,78,84,4.52,733,1476,82,0.264,1221,2316,41,1475,737,1200,4.23,685,-45,0.6829999999999999,0
2013,LAD,92,70,4.01,649,1447,78,0.264,1146,2176,46,1321,582,1292,3.25,524,27,0.6920000000000001,0
2013,MIA,62,100,3.17,513,1257,78,0.231,1232,1823,36,1376,646,1177,3.71,602,10,0.695,0
2013,MIL,74,88,3.95,640,1381,142,0.252,1183,2176,40,1401,687,1125,3.84,615,18,0.6970000000000001,0
2013,MIN,66,96,3.79,614,1346,52,0.242,1430,2114,40,1591,788,985,4.55,733,-47,0.679,0
2013,NYM,74,88,3.82,619,1318,114,0.237,1384,2035,40,1442,684,1209,3.77,618,-34,0.691,0
2013,NYY,85,77,4.01,650,1321,115,0.242,1214,2048,49,1452,671,1233,3.94,633,-21,0.687,0
2013,OAK,96,66,4.73,767,1403,74,0.254,1178,2312,46,1339,625,1183,3.56,574,-7,0.708,0
2013,PHI,73,89,3.77,610,1355,73,0.248,1205,2094,32,1465,749,1199,4.32,689,-50,0.679,0
2013,PIT,94,68,3.91,634,1346,94,0.245,1330,2172,55,1299,577,1261,3.26,533,19,0.698,0
2013,SDP,76,86,3.81,618,1349,118,0.245,1309,2085,40,1407,700,1171,3.98,643,19,0.696,0
2013,SEA,71,91,3.85,624,1318,49,0.237,1353,2165,43,1467,754,1297,4.31,702,-51,0.6829999999999999,0
2013,SFG,76,86,3.88,629,1446,67,0.26,1078,2117,41,1380,691,1256,4.0,643,39,0.6890000000000001,0
2013,STL,97,65,4.83,783,1494,45,0.26899999999999996,1110,2231,44,1366,596,1254,3.42,555,14,0.691,0
2013,TBR,92,71,4.29,700,1421,73,0.257,1171,2258,42,1315,646,1310,3.74,608,12,0.7070000000000001,0
2013,TEX,91,72,4.48,730,1465,149,0.262,1067,2301,46,1370,636,1309,3.62,589,54,0.693,0
2013,TOR,74,88,4.4,712,1398,112,0.252,1123,2274,39,1451,756,1208,4.25,685,-42,0.69,0
2013,WSN,86,76,4.05,656,1365,88,0.251,1192,2161,47,1367,626,1236,3.59,576,-4,0.691,0
2014,ARI,64,98,3.8,615,1379,86,0.248,1165,2086,35,1467,742,1278,4.26,683,-4,0.6729999999999999,0
2014,ATL,79,83,3.54,573,1316,95,0.24100000000000002,1369,1969,54,1369,597,1301,3.38,547,23,0.687,0
2014,BAL,96,66,4.35,705,1434,44,0.256,1285,2363,53,1342,593,1174,3.43,557,41,0.706,0
2014,BOS,71,91,3.91,634,1355,63,0.244,1337,2046,36,1458,715,1213,4.01,653,5,0.685,0
2014,CHC,73,89,3.79,614,1315,65,0.239,1477,2118,37,1398,707,1311,3.91,636,-17,0.68,0
2014,CHW,73,89,4.07,660,1400,85,0.253,1362,2208,36,1468,758,1152,4.29,687,-62,0.6779999999999999,0
2014,CIN,76,86,3.67,595,1282,122,0.23800000000000002,1252,1969,44,1282,612,1290,3.59,576,65,0.7120000000000001,0
2014,CLE,85,77,4.13,669,1411,104,0.253,1189,2167,40,1398,653,1450,3.56,581,-47,0.6729999999999999,0
2014,COL,66,96,4.66,755,1551,85,0.276,1281,2498,24,1528,818,1074,4.84,770,35,0.6779999999999999,0
2014,DET,90,72,4.67,757,1557,106,0.27699999999999997,1144,2399,41,1475,705,1244,4.01,648,-91,0.6729999999999999,0
2014,HOU,70,92,3.88,629,1317,122,0.242,1442,2084,31,1437,723,1137,4.11,657,-46,0.685,0
2014,KCR,89,73,4.02,651,1456,153,0.263,985,2085,53,1386,624,1168,3.51,565,31,0.693,1
2014,LAA,98,64,4.77,773,1464,81,0.259,1266,2295,46,1307,630,1342,3.58,590,2,0.703,0
2014,LAD,94,68,4.43,718,1476,138,0.265,1246,2256,47,1338,617,1373,3.4,554,5,0.69,0
2014,MIA,77,85,3.98,645,1399,58,0.253,1419,2091,42,1481,674,1190,3.78,613,-22,0.675,0
2014,MIL,82,80,4.01,650,1366,102,0.25,1197,2169,45,1386,657,1246,3.67,594,10,0.696,0
2014,MIN,70,92,4.41,715,1412,99,0.254,1329,2166,38,1588,777,1031,4.57,728,-60,0.672,0
2014,NYM,79,83,3.88,629,1306,101,0.239,1264,1994,42,1370,618,1303,3.49,568,-15,0.688,0
2014,NYY,84,78,3.91,633,1349,112,0.245,1133,2089,48,1392,664,1370,3.75,605,-17,0.687,0
2014,OAK,88,74,4.5,729,1354,83,0.244,1104,2111,31,1269,572,1244,3.22,524,19,0.71,0
2014,PHI,73,89,3.82,619,1356,109,0.242,1306,2036,40,1396,687,1255,3.79,619,-9,0.693,0
2014,PIT,88,74,4.21,682,1436,104,0.259,1244,2239,48,1341,631,1228,3.47,562,31,0.6940000000000001,0
2014,SDP,77,85,3.3,535,1199,91,0.226,1294,1810,41,1300,577,1284,3.27,523,27,0.695,0
2014,SEA,87,75,3.91,634,1328,96,0.244,1232,2047,51,1240,554,1317,3.17,512,33,0.7120000000000001,0
2014,SFG,88,74,4.1,665,1407,56,0.255,1245,2144,46,1305,614,1211,3.5,564,42,0.703,1
2014,STL,90,72,3.82,619,1371,57,0.253,1133,2003,55,1321,603,1221,3.5,564,32,0.701,0
2014,TBR,77,85,3.78,612,1361,63,0.247,1124,2023,37,1292,625,1437,3.56,579,-21,0.7,0
2014,TEX,67,95,3.93,637,1400,105,0.256,1162,2049,33,1510,773,1110,4.49,711,-39,0.675,0
2014,TOR,83,79,4.46,723,1435,78,0.259,1151,2296,45,1400,686,1199,4.0,642,-15,0.693,0
2014,WSN,96,66,4.23,686,1403,101,0.253,1304,2178,45,1351,555,1288,3.03,495,31,0.691,0
2015,ARI,79,83,4.44,720,1494,132,0.264,1312,2341,44,1450,713,1215,4.04,659,37,0.693,0
2015,ATL,67,95,3.54,573,1361,69,0.251,1107,1948,44,1462,760,1148,4.41,698,-16,0.6809999999999999,0
2015,BAL,81,81,4.4,713,1370,44,0.25,1331,2307,43,1406,693,1233,4.05,646,-9,0.691,0
2015,BOS,78,84,4.62,748,1495,71,0.265,1148,2338,40,1486,753,1218,4.31,694,-16,0.68,0
2015,CHC,97,65,4.25,689,1341,95,0.244,1518,2186,48,1276,608,1431,3.36,546,2,0.695,0
2015,CHW,76,86,3.84,622,1381,68,0.25,1231,2103,37,1443,701,1359,3.98,643,-38,0.6729999999999999,0
2015,CIN,64,98,3.95,640,1382,134,0.248,1255,2194,35,1436,754,1252,4.33,700,0,0.6890000000000001,0
2015,CLE,81,80,4.16,669,1395,86,0.256,1157,2179,38,1274,640,1407,3.67,584,39,0.6990000000000001,0
2015,COL,68,94,4.55,737,1479,97,0.265,1283,2409,36,1579,844,1112,5.04,799,-3,0.6679999999999999,0
2015,DET,74,87,4.28,689,1515,83,0.27,1259,2355,35,1491,803,1100,4.64,746,-13,0.69,0
2015,HOU,86,76,4.5,729,1363,121,0.25,1392,2383,39,1308,618,1280,3.57,572,13,0.701,0
2015,KCR,95,67,4.47,724,1497,104,0.26899999999999996,973,2298,56,1372,641,1160,3.73,601,18,0.701,0
2015,LAA,85,77,4.08,661,1331,52,0.24600000000000002,1150,2144,46,1355,675,1221,3.94,630,13,0.701,0
2015,LAD,92,70,4.12,667,1346,59,0.25,1258,2222,47,1317,595,1396,3.44,553,23,0.6920000000000001,0
2015,MIA,71,91,3.78,613,1420,112,0.26,1150,2096,35,1374,678,1152,4.02,638,9,0.6940000000000001,0
2015,MIL,68,94,4.04,655,1378,84,0.251,1299,2155,40,1432,737,1260,4.28,682,3,0.679,0
2015,MIN,83,79,4.3,696,1349,70,0.247,1264,2182,45,1506,700,1046,4.07,653,-11,0.687,0
2015,NYM,90,72,4.22,683,1351,51,0.244,1290,2211,50,1341,613,1337,3.43,557,-4,0.6970000000000001,0
2015,NYY,87,75,4.72,764,1397,63,0.251,1227,2343,48,1416,698,1370,4.03,652,-32,0.685,0
2015,OAK,68,94,4.28,694,1405,78,0.251,1119,2212,28,1402,729,1179,4.14,664,-20,0.691,0
2015,PHI,63,99,3.86,626,1374,88,0.249,1274,2110,35,1592,809,1153,4.69,749,-58,0.667,0
2015,PIT,98,64,4.3,697,1462,98,0.26,1322,2228,54,1392,596,1338,3.21,532,-12,0.679,0
2015,SDP,74,88,4.01,650,1324,82,0.243,1327,2100,41,1371,731,1393,4.09,655,-20,0.6829999999999999,0
2015,SEA,76,86,4.05,656,1379,69,0.249,1336,2279,45,1430,726,1283,4.16,677,-33,0.688,0
2015,SFG,84,78,4.3,696,1486,93,0.267,1159,2260,41,1344,627,1165,3.72,597,44,0.706,1
2015,STL,100,62,3.99,647,1386,69,0.253,1267,2163,62,1359,525,1329,2.94,478,-10,0.688,0
2015,TBR,80,82,3.98,644,1383,87,0.252,1310,2226,60,1314,642,1355,3.74,604,12,0.701,0
2015,TEX,88,74,4.64,751,1419,101,0.257,1233,2278,45,1459,733,1095,4.24,680,43,0.687,0
2015,TOR,93,69,5.5,891,1480,88,0.26899999999999996,1151,2518,34,1353,670,1117,3.8,609,59,0.708,0
2015,WSN,83,79,4.34,703,1363,57,0.251,1344,2185,41,1366,635,1342,3.62,577,4,0.685,0
2016,ARI,69,93,4.64,752,1479,137,0.261,1427,2446,31,1563,890,1318,5.09,821,-34,0.665,0
2016,ATL,68,93,4.03,649,1404,75,0.255,1240,2119,39,1414,779,1227,4.51,725,11,0.6920000000000001,0
2016,BAL,89,73,4.59,744,1413,19,0.256,1324,2449,54,1408,715,1248,4.22,671,-12,0.688,0
2016,BOS,93,69,5.42,878,1598,83,0.282,1160,2615,43,1342,694,1362,4.0,640,23,0.695,0
2016,CHC,103,58,4.99,808,1409,66,0.256,1339,2359,38,1125,556,1441,3.15,511,95,0.728,1
2016,CHW,78,84,4.23,686,1428,77,0.257,1285,2275,43,1422,715,1270,4.1,659,0,0.687,0
2016,CIN,68,94,4.42,716,1403,139,0.256,1284,2238,28,1457,854,1241,4.91,786,0,0.6940000000000001,0
2016,CLE,94,67,4.83,777,1435,134,0.262,1246,2356,37,1330,676,1398,3.84,617,72,0.696,0
2016,COL,75,87,5.22,845,1544,66,0.275,1330,2568,37,1532,860,1223,4.91,779,-3,0.667,0
2016,DET,86,75,4.66,750,1476,58,0.267,1303,2421,47,1417,721,1232,4.24,672,-37,0.6890000000000001,0
2016,HOU,84,78,4.47,724,1367,102,0.247,1452,2310,44,1441,701,1396,4.06,663,-12,0.6809999999999999,0
2016,KCR,81,81,4.17,675,1450,121,0.261,1224,2221,41,1433,712,1287,4.21,674,8,0.687,0
2016,LAA,74,88,4.43,717,1410,73,0.26,991,2197,29,1480,727,1136,4.28,676,-19,0.685,0
2016,LAD,91,71,4.48,725,1376,45,0.249,1321,2257,47,1266,638,1510,3.7,598,16,0.6990000000000001,0
2016,MIA,79,82,4.07,655,1460,71,0.263,1213,2187,55,1358,682,1379,4.05,646,-10,0.6829999999999999,0
2016,MIL,73,89,4.14,671,1299,181,0.244,1543,2168,46,1450,733,1175,4.08,650,-1,0.68,0
2016,MIN,59,103,4.46,722,1409,91,0.251,1426,2367,26,1617,889,1191,5.08,814,-72,0.662,0
2016,NYM,87,75,4.14,671,1342,42,0.24600000000000002,1302,2274,55,1397,617,1396,3.57,574,-11,0.6779999999999999,0
2016,NYY,84,78,4.2,680,1378,72,0.252,1188,2212,48,1358,702,1393,4.16,660,3,0.6940000000000001,0
2016,OAK,69,93,4.03,653,1352,50,0.24600000000000002,1145,2171,42,1459,761,1188,4.51,718,-57,0.685,0
2016,PHI,71,91,3.77,610,1305,96,0.24,1376,2089,43,1468,796,1299,4.63,739,14,0.6809999999999999,0
2016,PIT,78,83,4.5,729,1426,110,0.257,1334,2226,51,1490,758,1232,4.21,679,-25,0.6759999999999999,0
2016,SDP,68,94,4.23,686,1275,125,0.235,1500,2115,35,1425,770,1222,4.43,708,-16,0.687,0
2016,SEA,86,76,4.74,768,1446,56,0.259,1288,2400,49,1410,707,1318,4.0,647,-1,0.6940000000000001,0
2016,SFG,87,75,4.41,715,1437,79,0.258,1107,2215,43,1334,631,1309,3.65,593,46,0.7020000000000001,0
2016,STL,86,76,4.81,779,1415,35,0.255,1318,2453,38,1432,712,1290,4.08,656,-26,0.679,0
2016,TBR,68,94,4.15,672,1333,60,0.243,1482,2333,42,1395,713,1357,4.2,665,-38,0.687,0
2016,TEX,95,67,4.72,765,1446,99,0.262,1220,2394,56,1441,757,1154,4.37,700,43,0.6920000000000001,0
2016,TOR,89,73,4.69,759,1358,54,0.248,1362,2333,43,1340,666,1314,3.78,613,13,0.703,0
2016,WSN,95,67,4.71,763,1403,121,0.256,1252,2338,46,1272,612,1476,3.51,570,43,0.7,0
2017,ARI,69,93,4.64,752,1479,137,0.261,1427,2446,31,1563,890,1318,5.09,821,-34,0.665,0
2017,ATL,68,93,4.03,649,1404,75,0.255,1240,2119,39,1414,779,1227,4.51,725,11,0.6920000000000001,0
2017,BAL,89,73,4.59,744,1413,19,0.256,1324,2449,54,1408,715,1248,4.22,671,-12,0.688,0
2017,BOS,93,69,5.42,878,1598,83,0.282,1160,2615,43,1342,694,1362,4.0,640,23,0.695,0
2017,CHC,103,58,4.99,808,1409,66,0.256,1339,2359,38,1125,556,1441,3.15,511,95,0.728,1
2017,CHW,78,84,4.23,686,1428,77,0.257,1285,2275,43,1422,715,1270,4.1,659,0,0.687,0
2017,CIN,68,94,4.42,716,1403,139,0.256,1284,2238,28,1457,854,1241,4.91,786,0,0.6940000000000001,0
2017,CLE,94,67,4.83,777,1435,134,0.262,1246,2356,37,1330,676,1398,3.84,617,72,0.696,0
2017,COL,75,87,5.22,845,1544,66,0.275,1330,2568,37,1532,860,1223,4.91,779,-3,0.667,0
2017,DET,86,75,4.66,750,1476,58,0.267,1303,2421,47,1417,721,1232,4.24,672,-37,0.6890000000000001,0
2017,HOU,84,78,4.47,724,1367,102,0.247,1452,2310,44,1441,701,1396,4.06,663,-12,0.6809999999999999,0
2017,KCR,81,81,4.17,675,1450,121,0.261,1224,2221,41,1433,712,1287,4.21,674,8,0.687,0
2017,LAA,74,88,4.43,717,1410,73,0.26,991,2197,29,1480,727,1136,4.28,676,-19,0.685,0
2017,LAD,91,71,4.48,725,1376,45,0.249,1321,2257,47,1266,638,1510,3.7,598,16,0.6990000000000001,0
2017,MIA,79,82,4.07,655,1460,71,0.263,1213,2187,55,1358,682,1379,4.05,646,-10,0.6829999999999999,0
2017,MIL,73,89,4.14,671,1299,181,0.244,1543,2168,46,1450,733,1175,4.08,650,-1,0.68,0
2017,MIN,59,103,4.46,722,1409,91,0.251,1426,2367,26,1617,889,1191,5.08,814,-72,0.662,0
2017,NYM,87,75,4.14,671,1342,42,0.24600000000000002,1302,2274,55,1397,617,1396,3.57,574,-11,0.6779999999999999,0
2017,NYY,84,78,4.2,680,1378,72,0.252,1188,2212,48,1358,702,1393,4.16,660,3,0.6940000000000001,0
2017,OAK,69,93,4.03,653,1352,50,0.24600000000000002,1145,2171,42,1459,761,1188,4.51,718,-57,0.685,0
2017,PHI,71,91,3.77,610,1305,96,0.24,1376,2089,43,1468,796,1299,4.63,739,14,0.6809999999999999,0
2017,PIT,78,83,4.5,729,1426,110,0.257,1334,2226,51,1490,758,1232,4.21,679,-25,0.6759999999999999,0
2017,SDP,68,94,4.23,686,1275,125,0.235,1500,2115,35,1425,770,1222,4.43,708,-16,0.687,0
2017,SEA,86,76,4.74,768,1446,56,0.259,1288,2400,49,1410,707,1318,4.0,647,-1,0.6940000000000001,0
2017,SFG,87,75,4.41,715,1437,79,0.258,1107,2215,43,1334,631,1309,3.65,593,46,0.7020000000000001,0
2017,STL,86,76,4.81,779,1415,35,0.255,1318,2453,38,1432,712,1290,4.08,656,-26,0.679,0
2017,TBR,68,94,4.15,672,1333,60,0.243,1482,2333,42,1395,713,1357,4.2,665,-38,0.687,0
2017,TEX,95,67,4.72,765,1446,99,0.262,1220,2394,56,1441,757,1154,4.37,700,43,0.6920000000000001,0
2017,TOR,89,73,4.69,759,1358,54,0.248,1362,2333,43,1340,666,1314,3.78,613,13,0.703,0
2017,WSN,95,67,4.71,763,1403,121,0.256,1252,2338,46,1272,612,1476,3.51,570,43,0.7,0
2018,ARI,93,69,5.01,812,1405,103,0.254,1456,2457,43,1309,659,1482,3.66,586,-1,0.687,0
2018,ATL,72,90,4.52,732,1467,77,0.263,1184,2303,36,1463,821,1258,4.72,756,-35,0.6829999999999999,0
2018,BAL,75,87,4.59,743,1469,32,0.26,1412,2458,35,1505,841,1233,4.97,795,-9,0.6829999999999999,0
2018,BOS,93,69,4.85,785,1461,106,0.258,1224,2305,39,1384,668,1580,3.7,610,21,0.68,0
2018,CHC,92,70,5.07,822,1402,62,0.255,1401,2403,38,1294,695,1439,3.95,636,30,0.6990000000000001,0
2018,CHW,67,95,4.36,706,1412,71,0.256,1397,2300,25,1384,820,1193,4.78,755,17,0.7,0
2018,CIN,68,94,4.65,753,1390,120,0.253,1329,2372,33,1442,869,1300,5.17,821,-28,0.691,0
2018,CLE,102,60,5.05,818,1449,88,0.263,1153,2476,37,1267,564,1614,3.3,529,43,0.6829999999999999,0
2018,COL,87,75,5.09,824,1510,59,0.273,1408,2455,47,1453,757,1270,4.51,721,12,0.6829999999999999,0
2018,DET,64,98,4.54,735,1435,65,0.258,1313,2355,32,1587,894,1202,5.36,846,-47,0.6679999999999999,0
2018,HOU,101,61,5.53,896,1581,98,0.282,1087,2681,45,1314,700,1593,4.12,662,-16,0.682,0
2018,KCR,80,82,4.33,702,1436,91,0.259,1166,2323,39,1480,791,1216,4.61,737,-14,0.685,0
2018,LAA,80,82,4.38,710,1314,136,0.243,1198,2151,43,1373,709,1312,4.2,672,47,0.7,0
2018,LAD,104,58,4.75,770,1347,77,0.249,1380,2362,51,1226,580,1549,3.38,543,25,0.703,0
2018,MIA,77,85,4.8,778,1497,91,0.267,1282,2412,34,1450,822,1202,4.82,772,-9,0.691,0
2018,MIL,86,76,4.52,732,1363,128,0.249,1571,2346,54,1381,697,1346,4.0,642,4,0.684,0
2018,MIN,85,77,5.03,815,1444,95,0.26,1342,2410,42,1487,788,1166,4.59,732,46,0.6920000000000001,0
2018,NYM,70,92,4.54,735,1379,58,0.25,1291,2393,34,1538,863,1374,5.01,799,-66,0.667,0
2018,NYY,91,71,5.3,858,1463,90,0.262,1386,2498,36,1248,660,1560,3.72,599,25,0.703,0
2018,OAK,75,87,4.56,739,1344,57,0.24600000000000002,1491,2381,35,1444,826,1202,4.67,743,-41,0.6859999999999999,0
2018,PHI,66,96,4.26,690,1382,59,0.25,1417,2263,33,1471,782,1309,4.55,729,-39,0.6829999999999999,0
2018,PIT,75,87,4.12,668,1331,67,0.244,1213,2105,36,1464,731,1262,4.22,676,-26,0.679,0
2018,SDP,71,91,3.73,604,1251,89,0.23399999999999999,1499,2107,45,1417,816,1325,4.67,742,5,0.6829999999999999,0
2018,SEA,78,84,4.63,750,1436,89,0.259,1267,2351,39,1399,772,1244,4.46,713,10,0.7,0
2018,SFG,64,98,3.94,639,1382,76,0.249,1204,2112,32,1515,776,1234,4.5,726,-18,0.679,0
2018,STL,83,79,4.7,761,1402,81,0.256,1348,2330,43,1393,705,1351,4.01,646,22,0.687,0
2018,TBR,80,82,4.28,694,1340,88,0.245,1538,2314,53,1324,704,1352,3.97,638,26,0.701,0
2018,TEX,78,84,4.93,799,1326,113,0.244,1493,2334,29,1443,816,1107,4.66,742,50,0.695,0
2018,TOR,76,86,4.28,693,1320,53,0.24,1327,2265,45,1460,784,1372,4.42,720,-28,0.682,0
2018,WSN,97,65,5.06,819,1477,108,0.266,1327,2495,46,1300,672,1457,3.88,623,-2,0.698,0
